                  epoch,         train/box_loss,         train/cls_loss,         train/dfl_loss,   metrics/precision(B),      metrics/recall(B),       metrics/mAP50(B),    metrics/mAP50-95(B),           val/box_loss,           val/cls_loss,           val/dfl_loss,                 lr/pg0,                 lr/pg1,                 lr/pg2
                     56,                0.77787,                 1.4095,                 1.0042,                      1,                0.76883,                0.84127,                0.73728,                0.79333,                 1.7246,                0.96095,             0.00050105,             0.00050105,             0.00050105
                     57,                0.88765,                 1.3529,                 1.0549,                      1,                0.79392,                0.84244,                0.77758,                0.80741,                 1.7192,                0.88509,             0.00049907,             0.00049907,             0.00049907
                     58,                0.79724,                 1.3592,                 1.0971,                      1,                0.79392,                0.84244,                0.77758,                0.80741,                 1.7192,                0.88509,              0.0004967,              0.0004967,              0.0004967
                     59,                0.77423,                 1.0426,                 1.0982,                      1,                0.79392,                0.84244,                0.77758,                0.80741,                 1.7192,                0.88509,             0.00049393,             0.00049393,             0.00049393
                     60,                0.70117,                 1.1732,                 1.0469,                      1,                0.82194,                  0.931,                0.78267,                0.91786,                 1.6823,                0.89674,             0.00049076,             0.00049076,             0.00049076
                     61,                 0.7898,                 1.0999,                0.97918,                      1,                0.82194,                  0.931,                0.78267,                0.91786,                 1.6823,                0.89674,              0.0004872,              0.0004872,              0.0004872
                     62,                0.73676,                 1.0846,                 1.0066,                      1,                0.82194,                  0.931,                0.78267,                0.91786,                 1.6823,                0.89674,             0.00048324,             0.00048324,             0.00048324
                     63,                0.79123,                 1.1015,                 1.0652,                0.94043,                0.83333,                  0.955,                0.80116,                0.96807,                  1.512,                  1.005,             0.00047889,             0.00047889,             0.00047889
                     64,                0.87297,                 1.1095,                  1.004,                0.94043,                0.83333,                  0.955,                0.80116,                0.96807,                  1.512,                  1.005,             0.00047414,             0.00047414,             0.00047414
                     65,                0.95759,                 1.5337,                 1.0647,                0.94043,                0.83333,                  0.955,                0.80116,                0.96807,                  1.512,                  1.005,             0.00046899,             0.00046899,             0.00046899
                     66,                0.90575,                 1.3879,                  1.034,                0.92963,                0.83333,                0.94167,                0.75169,                 0.8812,                 1.4115,                 1.0299,             0.00046345,             0.00046345,             0.00046345
                     67,                0.74027,                0.99617,                 0.9633,                0.92963,                0.83333,                0.94167,                0.75169,                 0.8812,                 1.4115,                 1.0299,             0.00045751,             0.00045751,             0.00045751
                     68,                0.68443,                 1.1153,                  0.982,                0.92963,                0.83333,                0.94167,                0.75169,                 0.8812,                 1.4115,                 1.0299,             0.00045118,             0.00045118,             0.00045118
                     69,                0.70002,                  1.127,                 1.0772,                0.94057,                0.83333,                0.90357,                0.71175,                0.72292,                 1.4291,                0.96272,             0.00044445,             0.00044445,             0.00044445
                     70,                0.57554,                 1.0001,                0.97109,                0.94057,                0.83333,                0.90357,                0.71175,                0.72292,                 1.4291,                0.96272,             0.00043732,             0.00043732,             0.00043732
                     71,                0.64908,                 1.0049,                0.96007,                0.94057,                0.83333,                0.90357,                0.71175,                0.72292,                 1.4291,                0.96272,              0.0004298,              0.0004298,              0.0004298
                     72,                 0.7813,                 1.0955,                0.94157,                0.97101,                0.66667,                0.79637,                0.67842,                0.69749,                 1.3534,                 0.8642,             0.00042188,             0.00042188,             0.00042188
                     73,                 0.8995,                 1.6809,                 1.1911,                0.97101,                0.66667,                0.79637,                0.67842,                0.69749,                 1.3534,                 0.8642,             0.00041357,             0.00041357,             0.00041357
                     74,                0.65953,                 1.1136,                0.95843,                0.97101,                0.66667,                0.79637,                0.67842,                0.69749,                 1.3534,                 0.8642,             0.00040486,             0.00040486,             0.00040486
                     75,                0.77773,                 1.3018,                 1.1458,                0.95496,                0.66667,                0.80817,                0.66687,                0.67317,                 1.1786,                0.85598,             0.00039575,             0.00039575,             0.00039575
                     76,                0.52931,                0.88239,                0.92404,                0.95496,                0.66667,                0.80817,                0.66687,                0.67317,                 1.1786,                0.85598,             0.00038625,             0.00038625,             0.00038625
                     77,                0.61486,                0.90068,                0.92428,                0.95496,                0.66667,                0.80817,                0.66687,                0.67317,                 1.1786,                0.85598,             0.00037635,             0.00037635,             0.00037635
                     78,                 0.6095,                 1.1407,                0.95297,                      1,                0.82278,                  0.883,                0.76556,                0.60888,                 1.1291,                0.84233,             0.00036606,             0.00036606,             0.00036606
                     79,                0.58369,                0.96751,                0.99643,                      1,                0.82278,                  0.883,                0.76556,                0.60888,                 1.1291,                0.84233,             0.00035537,             0.00035537,             0.00035537
                     80,                0.64153,                 1.2778,                 0.9301,                      1,                0.82278,                  0.883,                0.76556,                0.60888,                 1.1291,                0.84233,             0.00034428,             0.00034428,             0.00034428
                     81,                0.70345,                 1.2107,                 1.0096,                0.98585,                0.83333,                0.90357,                0.79409,                 0.6284,                 1.1263,                0.82498,              0.0003328,              0.0003328,              0.0003328
                     82,                 0.5953,                 1.1291,                0.99195,                0.98585,                0.83333,                0.90357,                0.79409,                 0.6284,                 1.1263,                0.82498,             0.00032092,             0.00032092,             0.00032092
                     83,                0.67582,                 1.0738,                 1.0387,                0.98585,                0.83333,                0.90357,                0.79409,                 0.6284,                 1.1263,                0.82498,             0.00030865,             0.00030865,             0.00030865
                     84,                0.53417,                0.93772,                 0.9364,                0.98741,                0.83333,                0.97214,                0.87493,                0.60762,                0.98932,                0.82193,             0.00029598,             0.00029598,             0.00029598
                     85,                0.69419,                 0.9514,                0.95148,                0.98741,                0.83333,                0.97214,                0.87493,                0.60762,                0.98932,                0.82193,             0.00028291,             0.00028291,             0.00028291
                     86,                 0.5403,                0.89261,                0.97346,                0.98741,                0.83333,                0.97214,                0.87493,                0.60762,                0.98932,                0.82193,             0.00026945,             0.00026945,             0.00026945
                     87,                0.52362,                 0.8756,                0.96776,                0.98741,                0.83333,                0.97214,                0.87493,                0.60762,                0.98932,                0.82193,             0.00025559,             0.00025559,             0.00025559
                     88,                0.60074,                 1.1757,                 1.0423,                      1,                0.98687,                  0.995,                 0.8955,                0.55863,                0.89553,                0.77521,             0.00024134,             0.00024134,             0.00024134
                     89,                0.49469,                0.90761,                0.84545,                      1,                0.98687,                  0.995,                 0.8955,                0.55863,                0.89553,                0.77521,             0.00022669,             0.00022669,             0.00022669
